dataset,tokenizer_name,token_count,compression_ratio,oov_rate,fertility_rate,mean_tokens_per_sentence,pieces_per_word,max_pieces_per_word,estimated_cost,nsl,estimated_cost_per_100_records
Wikipedia,gpt2,2116.6,0.2426826206446442,0.0,1.5584563615172415,41.123724690938104,1.4502493725234769,8.55,0.004233199999999991,1.0,0.4233199999999991
Wikipedia,llama-sp,2391.63,0.27123076621397507,0.0,1.7415540555760953,45.07573482655894,1.598144117962772,10.15,0.00717488999999999,1.116427369241473,0.717488999999999
Wikipedia,t5,2239.27,0.2512110337757698,0.004301911401417781,1.6119008665496235,42.86291407709453,1.6119008665496235,9.53,0.005598174999999995,1.0373238668992335,0.5598174999999995
Wikipedia,wordpiece,1966.56,0.21793880297881138,7.5471698113207e-05,1.3978507314572557,36.68216300369765,1.3978507314572557,7.95,0.002949839999999997,0.9022440637527808,0.2949839999999997
Common Crawl,gpt2,435.86,0.2212041861327985,0.0,1.3215480255198369,20.19658491160656,1.2996853490590068,5.86,0.000871719999999995,1.0,0.0871719999999995
Common Crawl,llama-sp,456.89,0.23250882122939842,0.0,1.3899926266651437,21.18165726510459,1.3525809571931173,6.44,0.0013706699999999942,1.0501815691399425,0.1370669999999994
Common Crawl,t5,460.11,0.2337650708204796,0.000154040404040403,1.3961528299934491,21.332917418387282,1.3961528299934491,6.44,0.001150274999999992,1.0561580833731954,0.1150274999999992
Common Crawl,wordpiece,429.42,0.21681816943008322,0.000117647058823529,1.295001086219992,19.78204524488285,1.295001086219992,5.82,0.0006441299999999941,0.9808317423514591,0.0644129999999994
OpenSubtitles,gpt2,9.58,0.2916351138104564,0.0,1.4851752511176424,8.868333333333334,1.4851752511176424,2.21,1.916e-05,1.0,0.001916
OpenSubtitles,llama-sp,10.19,0.30652863829585847,0.0,1.558170838461056,9.433333333333334,1.558170838461056,2.55,3.057e-05,1.052000665269201,0.003057
OpenSubtitles,t5,10.63,0.3226025215842076,0.0,1.6414236949845644,9.846666666666666,1.6414236949845644,2.7,2.6575000000000002e-05,1.1082641343954787,0.0026575
OpenSubtitles,wordpiece,10.08,0.3043531233388551,0.0,1.5687360192544975,9.315,1.5687360192544975,2.65,1.512e-05,1.0615529975622655,0.0015119999999999999
